Handle,Title,Status,Published,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy
alkaram-3-pc-embroidered-lawn-suit-with-chiffon-dupatta-fc-10d-23-2-cream,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10134,shopify,5,deny
alkaram-3-pc-embroidered-one-way-slub-suit-with-fancy-dupatta-fc-1a-23-2-mint,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10135,shopify,5,deny
alkaram-3-pc-embroidered-suit-with-cotton-silk-dupatta-32878,Alkaram · Ladies Unstitched Embroidered Silk 3 piece,active,TRUE,KJC-LU-ALK-10136,shopify,5,deny
alkaram-3-pc-embroidered-organza-zari-suit-with-chiffon-dupatta-64803,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10137,shopify,5,deny
alkaram-rts-shirt-dupatta-fw-119-1-25-1-purple,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10138,shopify,5,deny
alkaram-rts-shirt-dupatta-fw-118-1-25-1-green,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10139,shopify,5,deny
alkaram-rts-shirt-dupatta-fw-137-25-1-grey,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10140,shopify,5,deny
alkaram-rts-shirt-dupatta-fw-116-1-25-1-charcoal,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10141,shopify,5,deny
alkaram-rts-shirt-trouser-fw-140-25-1-beige,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10142,shopify,5,deny
alkaram-rts-shirt-dupatta-fw-166-25-2-gray,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10143,shopify,5,deny
alkaram-rts-shirt-trouser-fw-139-25-1-purple,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10144,shopify,5,deny
alkaram-rts-shirt-trouser-fw-121-1-25-1-purple,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10145,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-fw-123-25-1-blue,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10146,shopify,5,deny
alkaram-rts-shirt-trouser-fw-122-1-25-1-blue,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10147,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-fw-129-25-1-lilac,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10148,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-fw-129-25-1-pink,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10149,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-fw-135-25-1-olive,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10150,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-fw-176-25-1-green,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10151,shopify,5,deny
alkaram-rts-shirt-trouser-shawl-fw-90-25-1-off-white,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10152,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-fw-85-1-25-1-beige,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10153,shopify,5,deny
alkaram-rts-shirt-trouser-shawl-fw-100-25-1-red,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10154,shopify,5,deny
alkaram-four-piece-embroidered-organza-6m-suit-with-organza-dupatta-lf-10-24-2-tea-pink,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10155,shopify,5,deny
alkaram-3-pc-embroidered-suit-with-poly-net-dupatta,Alkaram · Ladies Unstitched Formal 3 piece,active,TRUE,KJC-LU-ALK-10156,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ec343-3p26a-light-blue,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10157,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ec341-3p26b-lilac,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10158,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ec341-3p26a-green,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10159,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ec339-3p26b-mustard,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10160,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ec337-3p26-blue,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10161,shopify,5,deny
